"","�..Category","Subcat","name","price","stars","votes"
"127","Music & Audio","Jingles & Intros","making jingles for radio stations","8.89","5.0","2"
"128","Lifestyle","Fitness Lessons","intermittent fasting ebook and videos","4.44","5.0","1"
"129","Writing & Translation","Creative Writing","write a bio for your about me page or profile","79.99","4.9","1k+"
"130","Lifestyle","Traveling","help you plan a travel itinerary for romania","4.44","5.0","1"
"131","Writing & Translation","Press Releases","create a quality SEO press release","35.55","4.9","720"
"132","Lifestyle","Celebrity Impersonators","record a john travolta impersonation","8.89","5.0","90"
"133","Music & Audio","SongwritersNew","be your male singer songwriter with vocals, guitar or piano","88.88","5.0","87"
"134","Video & Animation","Animation for Streamers","create intro,starting soon, stinger transition animations","44.44","5.0","40"
"135","Video & Animation","Product Photography","shoot lifestyle photography for your ecommerce brand in southern california","173.31","5.0","8"
"136","Business","Flyer Distribution","distribute 25 flyers in high traffic dc areas","22.22","4.9","11"
"137","Video & Animation","Live Action Explainers","create a step by step video of handmade jewelry","13.33","5.0","4"
"138","Video & Animation","Short Video Ads","create a product description video, post it to a large social media audience","88.88","5.0","37"
"139","Music & Audio","Podcast EditingNew","completely setup your podcast","71.10","5.0","12"
"140","Business","Data Entry","be ready as your virtual assistant to take care of your data as your demands","4.44","5.0","5"
"141","Video & Animation","Live Action Explainers","create stunning live action promo video","71.10","4.9","5"
"142","Lifestyle","Personal StylistsNew","be your fashion counselor","4.44","4.7","16"
"143","Business","Lead Generation","cold call hundreds of leads to produce sales and growth","75.55","4.9","50"
"144","Digital Marketing","Domain Research","search domain name worth more then 1200usd","8.89","5.0","2"
"145","Lifestyle","Online Lessons","work out your game theory and microeconomics problems","44.44","5.0","6"
"146","Video & Animation","Lyric & Music Videos","make an amazing music video for your song in 24 hours","8.89","4.9","290"
"147","Video & Animation","Animated GIFs","create 2d animated gifs in my very exclusive style","35.55","5.0","73"
"148","Business","Virtual Assistant","be your amazon virtual assistant, private label, wholesale","13.33","5.0","8"
"149","Programming & Tech","Mobile Apps","create an ecommerce android and ios mobile app","17.78","5.0","24"
"150","Video & Animation","Lyric & Music Videos","create an animated lyric video for your song","266.63","5.0","1k+"
"151","Business","Legal Consulting","provide expert UK visa and immigration advice","57.77","nul","nul"
"152","Business","Flyer Distribution","post your ads on 20 high ranked classified sites with proof","8.89","5.0","25"
"153","Video & Animation","App & Website Previews","create 3d iphone, tablet, and laptop promo videos for apps","26.66","nul","nul"
"154","Video & Animation","Real Estate Promos","do real estate video editing in 24 hours","13.33","5.0","37"
"155","Programming & Tech","Game Development","Our studio will create a full 3d game includes art, design, and marketing","4,489","nul","nul"
"156","Writing & Translation","Book EditingNew","edit your dream novel within 24 hours","13.33","5.0","9"
"157","Digital Marketing","Local SEO","map citations with geotagged images no1 local SEO rank","17.78","5.0","347"
"158","Programming & Tech","Website Builders & CMS","develop a quality hubspot cms template","133.32","5.0","12"
"159","Writing & Translation","Research & Summaries","provide top quality research and summary on business writing and market research","8.89","5.0","1"
"160","Business","Branding Services","craft a value proposition for your product or service","26.66","5.0","11"
"161","Video & Animation","Character Animation","make a short animation","111.10","5.0","1"
"162","Programming & Tech","Databases","create or modify professional microsoft access database","44.44","5.0","8"
"163","Music & Audio","Music TranscriptionNew","transcribe or arrange to a musical score any music","71.10","nul","nul"
"164","Digital Marketing","Domain Research","suggest amazing business name and seo friendly domain name","4.44","5.0","2"
"165","Lifestyle","Collectibles","paint your tabletop and wargame miniatures","8.89","5.0","7"
"166","Lifestyle","Gaming","play sea of thieves and help you get to pirate legend","17.78","5.0","7"
"167","Video & Animation","Animation for Kids","create learning videos for kids","8.89","4.8","31"
"168","Lifestyle","Relationship Advice","provide advice and strategic life coaching","8.89","5.0","1"
"169","Writing & Translation","Brand Voice & Tone","manage your brand story, mission, vision and about us","17.78","5.0","2"
"170","Music & Audio","DJ Drops & Tags","do professional sounding dj drops saying anything you want","4.44","5.0","20"
"171","Writing & Translation","Grant Writing","write great music and arts grant proposals","31.11","4.2","6"
"172","Business","Presentations","coach your next public speaking gig","13.33","5.0","12"
"173","Writing & Translation","Website Content","rewrite and improve content in german","17.78","5.0","2"
"174","Video & Animation","Subtitles & Captions","add graphics and text or caption animation in your video","4.44","5.0","6"
"175","Music & Audio","Vocal Tuning","make your vocal recordings shine through","26.66","nul","nul"
"176","Music & Audio","Singers & Vocalists","be your pop and edm female vocalist and songwriter","133.32","4.9","112"
"177","Music & Audio","Producers & Composers","produce pop lofi trap beats for you","13.33","5.0","14"
"178","Programming & Tech","User Testing","test your IOS and android games or apps","26.66","5.0","1"
"179","Writing & Translation","Case Studies","do dna and questioned documents and fingerprints examination","8.89","5.0","2"
"180","Lifestyle","Traveling","help in india and new delhi","4.44","5.0","25"
"181","Lifestyle","Craft Lessons","teach your child how to make a bubble machine","4.44","nul","nul"
"182","Programming & Tech","E-Commerce Development","make wordpress woocommerce store or shopify store for you","44.44","5.0","2"
"183","Music & Audio","Podcast EditingNew","do podcast editing today","22.22","5.0","45"
"184","Video & Animation","Animation for Kids","make abc, colors, 123 many more kids 2d videos","8.89","5.0","6"
"185","Programming & Tech","Desktop Applications","develop java, javafx programming and gui projects","4.44","5.0","9"
"186","Programming & Tech","Support & IT","help you build and administrate your salesforce","48.88","5.0","2"
"187","Business","Lead Generation","do cold calling and appointment setting for you","22.22","4.9","26"
"188","Music & Audio","SongwritersNew","write creative lyrics to your music","35.55","5.0","1"
"189","Writing & Translation","Product Descriptions","write an amazon product description that sells plus PPC","88.88","5.0","29"
"190","Video & Animation","Screencasting Videos","make an excellent screencasting tutorial video for you","8.89","5.0","2"
"191","Business","Market Research","do market research on any topic and industry","26.66","4.8","36"
"192","Lifestyle","Viral Videos","do a dance for you","13.33","4.5","4"
"193","Programming & Tech","Web Programming","design and build your professional email signature","97.77","4.9","15"
"194","Lifestyle","Viral Videos","create a professional dance video for your song","133.32","5.0","18"
"195","Business","E-Commerce ManagementNew","find private label product that sells hot on amazon fba","53.33","5.0","12"
"196","Writing & Translation","Product Descriptions","write an excellent SEO amazon product listing description with great copywriting","31.11","4.9","351"
"197","Writing & Translation","Proofreading & Editing","professionally proofread and edit your novel","177.76","5.0","12"
"198","Writing & Translation","Proofreading & Editing","professionally copy edit and proofread your fiction and nonfiction books","88.88","4.9","69"
"199","Video & Animation","Animation for Kids","create 2d and 3d animations for children","106.65","nul","nul"
"200","Video & Animation","3D Product Animation","create 3d product modeling and animation","133.32","5.0","72"
"201","Programming & Tech","QA","do advanced pentest on your website with report","22.22","5.0","27"
"202","Video & Animation","Intros & Outros","create your next intro and outro","355.51","5.0","6"
"203","Writing & Translation","LinkedIn Profiles","create professional linkedin profile for you or your company","48.88","4.9","188"
"204","Music & Audio","Producers & Composers","ghost produce radio ready music for you","119.98","5.0","16"
"205","Video & Animation","Live Action Explainers","create any food 4k video recipe for you","31.11","5.0","147"
"206","Writing & Translation","Cover Letters","create high quality CV or resume in one hour","4.44","4.7","1"
"207","Writing & Translation","Business Names & Slogans","create original, engaging slogans or taglines","13.33","5.0","66"
"208","Video & Animation","Logo Animation","create custom 3d grunge and metal logo and intro animation","8.89","5.0","7"
"209","Business","Project ManagementNew","develop any type of credit risk, underwriting, API,  lending platform","79.99","5.0","3"
"210","Video & Animation","eLearning Video ProductionNew","be online course creator or training video with voice over","31.11","5.0","3"
"211","Business","Branding Services","create ideal buyer persona","84.43","5.0","49"
"212","Video & Animation","Slideshows Videos","create modern business presentation video intro promo","17.78","5.0","132"
"213","Programming & Tech","Convert Files","do kindle ebook book formatting amazon kdp paperback","13.33","4.9","646"
"214","Video & Animation","eLearning Video ProductionNew","produce your elearning or education video","8.89","nul","nul"
"215","Programming & Tech","Mobile Apps","be your android app developer or develop your android app","66.66","5.0","79"
"216","Digital Marketing","Mobile Marketing & Advertising","provide you targeted numbers for SMS or whatsapp marketing","17.78","5.0","22"
"217","Writing & Translation","Legal Writing","write the perfect contract for any situation US lawyer","66.66","5.0","3"
"218","Video & Animation","Local PhotographyBeta","15 sec food advertising video","977.65","nul","nul"
"219","Lifestyle","Family & Genealogy","research your family tree, ancestry and genealogy","4.44","4.9","105"
"220","Music & Audio","SongwritersNew","put your lyrics to music, acoustic guitar, singer songwriter","48.88","5.0","1k+"
"221","Writing & Translation","Technical Writing","do ce marking, certificate of compliance and technical files","133.32","5.0","1"
"222","Music & Audio","Online Music LessonsNew","give professional violin lessons online","4.44","5.0","11"
"223","Programming & Tech","E-Commerce Development","upload products to your shopify store","88.88","5.0","28"
"224","Digital Marketing","Web Traffic","send keyword targeted usa and uk organic traffic with low bounce rate","26.66","4.9","31"
"225","Writing & Translation","Email Copy","write persuasive sales letter and business letter","22.22","4.7","48"
"226","Programming & Tech","QA","professionally QA test your site, min 25 bugs or refund","57.77","5.0","44"
"227","Music & Audio","Session Musicians","track live drums, guitar, and or bass for your song","177.76","5.0","10"
"228","Video & Animation","Whiteboard & Animated Explainers","Our studio will produce professional custom explainer video","617.70","nul","nul"
"229","Business","Branding Services","create a complete brand guide for your business or service","71.10","5.0","8"
"230","Business","Market Research","provide insightful comprehensive market research","88.88","4.9","106"
"231","Writing & Translation","Brand Voice & Tone","identify and pin down your brand voice and tone","88.88","4.9","21"
"232","Writing & Translation","Speechwriting","do deep research in spanish, english and chinese","8.89","4.8","2"
"233","Programming & Tech","Website Builders & CMS","design a high end wix website for you","622.14","5.0","12"
"234","Digital Marketing","Web Traffic","setup google adwords search ads for top ranking","22.22","5.0","13"
"235","Writing & Translation","UX Writing","write email marketing and UX contents for your website and apps","44.44","nul","nul"
"236","Programming & Tech","Online Coding LessonsNew","do any matlab c cpp java python programming electrical engineering projects task","17.78","5.0","25"
"237","Video & Animation","Intros & Outros","do custom 3d intros or outro your youtube channel","8.89","4.9","56"
"238","Lifestyle","Greeting Cards & Videos","do a star studded birthday video ecard","8.89","5.0","8"
"239","Music & Audio","SongwritersNew","ghostwrite a hit hip hop,rap or rnb song for you","44.44","4.9","40"
"240","Programming & Tech","Convert Files","do ebook formatting paperback formatting for amazon kindle","8.89","5.0","609"
"241","Digital Marketing","Influencer Marketing","shoutout you to 700k instagram fashion or music pages","22.22","4.5","66"
"242","Video & Animation","Short Video Ads","present your product I am a former national tv host","84.43","5.0","2"
"243","Video & Animation","Video Editing","do professional video editing for you","31.11","4.9","263"
"244","Video & Animation","Whiteboard & Animated Explainers","create an awesome whiteboard animation video","133.32","5.0","800"
"245","Music & Audio","Audio Ads ProductionNew","voice your radio or TV commercial voice over","35.55","5.0","27"
"246","Video & Animation","Live Action Explainers","create a professional video for your cocktail","31.11","5.0","7"
"247","Video & Animation","Game Trailers","create video trailer for your games or apps","222.19","4.8","10"
"248","Digital Marketing","E-Commerce Marketing","do mailchimp sales funnel for your shopify and ecommerce store to boost sale","4.44","4.9","13"
"249","Writing & Translation","Technical Writing","do haccp plan consultation and documentation","4.44","4.9","5"
"250","Video & Animation","Spokespersons Videos","film a branded office spokesperson video in HD or 4k","39.99","5.0","1k+"
"251","Video & Animation","Unboxing VideosNew","do unboxing video of your product","4.44","5.0","1"
"252","Writing & Translation","Podcast Writing","write an electrifying script for a youtube video or podcast","17.78","4.9","41"
"253","Video & Animation","Character Animation","animate anything you want","13.33","5.0","13"
"254","Programming & Tech","QA","do manual and automation testing","4.44","5.0","3"
"255","Music & Audio","Singers & Vocalists","sing your rock and metal songs","88.88","5.0","2"
"256","Video & Animation","Animated GIFs","animate your photos, artworks and give them life","44.44","5.0","49"
"257","Programming & Tech","User Testing","test your website and give feedback","4.44","5.0","2"
"258","Writing & Translation","Proofreading & Editing","deeply edit up to 2000 words in 2 days","97.77","5.0","149"
"259","Video & Animation","Local PhotographyBeta","photograph your event in new york city","128.87","5.0","4"
"260","Music & Audio","Jingles & Intros","create your podcast theme song","133.32","5.0","11"
"261","Video & Animation","Short Video Ads","make a promotional video for your company excellent quality","13.33","4.9","246"
"262","Programming & Tech","Web Programming","convert psd to responsive html css and bootstrap","13.33","4.9","63"
"263","Video & Animation","Spokespersons Videos","create pro spokesperson demo video using your product","177.76","5.0","98"
"264","Business","Project ManagementNew","do your project management task","26.66","4.9","11"
"265","Writing & Translation","Translation","translate, proofread, edit from english to japanese","4.44","4.9","144"
"266","Programming & Tech","User Testing","audit your ecommerce site or app and suggest UX improvements","22.22","5.0","1"
"267","Programming & Tech","Development for StreamersNew","setup your software for streaming obs, slobs, xsplit","8.89","5.0","19"
"268","Business","Business Plans","give you the best forex trading system","208.86","nul","nul"
"269","Business","Business Consulting","do business valuation, stock recommendations and equity research","88.88","5.0","11"
"270","Lifestyle","Your Message On...","send your message to space","8.89","4.9","25"
"271","Video & Animation","Slideshows Videos","create a promotional photo or video slideshow","13.33","5.0","4"
"272","Business","Branding Services","submit ingenious business brand name domain with logo design","26.66","4.8","12"
"273","Business","Business Plans","do professional business plan, business plan for startups","8.89","5.0","8"
"274","Writing & Translation","Translation","translate spanish to german","4.44","5.0","6"
"275","Video & Animation","Slideshows Videos","create a video from your power point or PDF","4.44","4.3","6"
"276","Music & Audio","Singers & Vocalists","record vocals for your music","71.10","5.0","6"
"277","Programming & Tech","Convert Files","manually convert your 300 page document to kindle format and formatting","8.89","5.0","1k+"
"278","Lifestyle","Family & Genealogy","obtain certified italian genealogy records","44.44","5.0","3"
"279","Lifestyle","Family & Genealogy","do genealogy research of your ancestors","35.55","5.0","8"
"280","Programming & Tech","Web Programming","do web designing and development with laravel","44.44","5.0","25"
"281","Writing & Translation","Online Language LessonsNew","be your english tutor for a lesson via skype","4.44","5.0","7"
"282","Digital Marketing","Music Promotion","promote your music professionally","88.88","4.9","100"
"283","Music & Audio","Jingles & Intros","create you a custom song or jingle in 48 hours or less","35.55","5.0","52"
"284","Writing & Translation","Transcripts","do a high quality transcription of audio or video","4.44","4.7","9"
"285","Business","Business Consulting","teach you to make money online","155.54","5.0","64"
"286","Video & Animation","Animation for Streamers","create custom twitch or youtube stinger transitions for you","22.22","5.0","1k+"
"287","Video & Animation","Whiteboard & Animated Explainers","create a custom 2d animation or cartoon explainer video","533.27","4.9","78"
"288","Writing & Translation","Press Releases","create ap style press releases to help you earn coverage","155.54","5.0","66"
"289","Writing & Translation","Research & Summaries","research your true crime material","13.33","5.0","5"
"290","Writing & Translation","Online Language LessonsNew","write fun and engaging english lesson plans","4.44","5.0","4"
"291","Video & Animation","Intros & Outros","create a high impact intro or outro for you","177.76","4.9","36"
"292","Music & Audio","SongwritersNew","be your singer songwriter","71.10","5.0","65"
"293","Writing & Translation","Online Language LessonsNew","be your amazon fba coach in french or english","13.33","5.0","6"
"294","Writing & Translation","LinkedIn Profiles","improve and fully optimize your linkedin profile","48.88","4.8","77"
"295","Lifestyle","Personal StylistsNew","be your personal fashion stylist and wardrobe shopping guide","8.89","5.0","21"
"296","Lifestyle","Cooking Lessons","give you over 400 Secret Franchise Recipes","4.44","4.7","11"
"297","Video & Animation","Logo Animation","do a professional logo animation","124.43","5.0","29"
"298","Business","Branding Services","create a stunning brand name and a proper brand positioning","62.21","4.9","99"
"299","Programming & Tech","User Testing","test websites, mobile apps,software, and make bugs report","17.78","5.0","11"
"300","Video & Animation","Slideshows Videos","do a professional photo slideshow","8.89","5.0","28"
"301","Music & Audio","Vocal Tuning","manually tune, align and add effects to your vocals","26.66","5.0","1"
"302","Lifestyle","Cooking Lessons","create epic recipe videos for you","71.10","5.0","13"
"303","Video & Animation","Subtitles & Captions","add dutch or english subtitles to your video","13.33","4.9","9"
"304","Lifestyle","Viral Videos","make a viral video of what you want","8.89","4.9","3"
"305","Lifestyle","Fitness Lessons","do live personal training sessions with skype facetime etc","35.55","5.0","10"
"306","Writing & Translation","Beta Reading","be your sensitivity reader","8.89","5.0","6"
"307","Lifestyle","Your Message On...","say anything you want in a video","4.44","5.0","6"
"308","Writing & Translation","Scriptwriting","write an engaging script for your commercial or video","8.89","4.9","422"
"309","Video & Animation","Real Estate Promos","create an dynamic real estate  video editing that convert","4.44","4.5","2"
"310","Video & Animation","Short Video Ads","Our studio will create awe inspiring instagram video ads","102.21","nul","nul"
"311","Writing & Translation","Translation","professionally translate spanish into english","88.88","5.0","10"
"312","Lifestyle","Arts & Crafts","make you a beautiful printable wall art","17.78","5.0","7"
"313","Writing & Translation","Transcripts","transcribe in as fast as 12 hours your english audio or video","4.44","5.0","1k+"
"314","Writing & Translation","Translation","professionally translate english to german","22.22","5.0","1k+"
"315","Video & Animation","App & Website Previews","create a custom app explainer video or app demo video ads","22.22","4.9","14"
"316","Lifestyle","Family & Genealogy","create a family tree to your liking","13.33","5.0","1"
"317","Writing & Translation","Online Language LessonsNew","help you to learn  arabic standard or slang,first lesson is free","8.89","5.0","7"
"318","Writing & Translation","Proofreading & Editing","bring your personal statement to life","31.11","5.0","4"
"319","Writing & Translation","Book EditingNew","edit your work of fiction","44.44","4.8","3"
